"country","iso3c","genus_cat","Exports","Imports","Reexports","perc_imp_reexport","perc_exports_reexport"
"Sierra Leone","SLE","Pelagic Fish",106,1938,0,0,0
"Singapore","SGP","Aquatic Animals; Others",495,1191,0,0,0
"Singapore","SGP","Cephalopods",1205,10797,0,0,0
"Singapore","SGP","Crustaceans",3285,32575,0,0,0
"Singapore","SGP","Demersal Fish",5689,13939,0,0,0
"Singapore","SGP","Freshwater Fish",5254,56951,0,0,0
"Singapore","SGP","Marine Fish; Other",16863,64425,0,0,0
"Singapore","SGP","Moluscs; Other",1443,12579,0,0,0
"Singapore","SGP","Pelagic Fish",9109,31058,0,0,0
"Slovakia","SVK","Aquatic Animals; Others",24,9,0,0,0
"Slovakia","SVK","Cephalopods",27,49,0,0,0
"Slovakia","SVK","Crustaceans",30,194,0,0,0
"Slovakia","SVK","Demersal Fish",975,15479,0,0,0
"Slovakia","SVK","Freshwater Fish",821,7813,0,0,0
"Slovakia","SVK","Marine Fish; Other",1455,8718,0,0,0
"Slovakia","SVK","Moluscs; Other",5,67,0,0,0
"Slovakia","SVK","Pelagic Fish",634,9706,0,0,0
"Slovenia","SVN","Aquatic Animals; Others",17,90,0,0,0
"Slovenia","SVN","Cephalopods",739,3330,0,0,0
"Slovenia","SVN","Crustaceans",154,717,0,0,0
"Slovenia","SVN","Demersal Fish",978,5236,0,0,0
"Slovenia","SVN","Freshwater Fish",4067,6918,0,0,0
"Slovenia","SVN","Marine Fish; Other",1734,2377,0,0,0
"Slovenia","SVN","Moluscs; Other",215,518,0,0,0
"Slovenia","SVN","Pelagic Fish",4106,9162,0,0,0
"Solomon Islands","SLB","Aquatic Animals; Others",47,1,0,0,0
"Solomon Islands","SLB","Demersal Fish",1,3,0,0,0
"Solomon Islands","SLB","Freshwater Fish",332,4,0,0,0
"Solomon Islands","SLB","Marine Fish; Other",2181,46,0,0,0
"Solomon Islands","SLB","Moluscs; Other",300,11,0,0,0
"Solomon Islands","SLB","Pelagic Fish",28837,602,0,0,0
"Somalia","SOM","Aquatic Animals; Others",11,NA,0,NA,0
"Somalia","SOM","Cephalopods",121,NA,0,NA,0
"Somalia","SOM","Crustaceans",10,2,0,0,0
"Somalia","SOM","Demersal Fish",2393,26,0,0,0
"Somalia","SOM","Freshwater Fish",446,470,0,0,0
"Somalia","SOM","Marine Fish; Other",4330,23,0,0,0
"Somalia","SOM","Moluscs; Other",4,NA,0,NA,0
"Somalia","SOM","Pelagic Fish",391,2956,0,0,0
"South Africa","ZAF","Aquatic Animals; Others",50,116,0,0,0
"South Africa","ZAF","Cephalopods",12619,9468,0,0,0
"South Africa","ZAF","Crustaceans",3234,9373,0,0,0
"South Africa","ZAF","Demersal Fish",59926,35525,0,0,0
"South Africa","ZAF","Freshwater Fish",2915,13204,0,0,0
"South Africa","ZAF","Marine Fish; Other",23333,20078,0,0,0
"South Africa","ZAF","Moluscs; Other",1659,1531,0,0,0
"South Africa","ZAF","Pelagic Fish",98611,131163,0,0,0
"Spain","ESP","Aquatic Animals; Others",2838,2556,0,0,0
"Spain","ESP","Cephalopods",171307,347416,0,0,0
"Spain","ESP","Crustaceans",55250,197260,0,0,0
"Spain","ESP","Demersal Fish",207532,475288,0,0,0
"Spain","ESP","Freshwater Fish",29922,123412,0,0,0
"Spain","ESP","Marine Fish; Other",106784,139529,0,0,0
"Spain","ESP","Moluscs; Other",81968,83302,0,0,0
"Spain","ESP","Pelagic Fish",581505,561290,0,0,0
"Sri Lanka","LKA","Aquatic Animals; Others",705,36,0,0,0
"Sri Lanka","LKA","Crustaceans",4446,1090,0,0,0
"Sri Lanka","LKA","Demersal Fish",611,4412,0,0,0
"Sri Lanka","LKA","Freshwater Fish",420,984,0,0,0
"Sri Lanka","LKA","Marine Fish; Other",3754,23250,0,0,0
"Sri Lanka","LKA","Moluscs; Other",430,65,0,0,0
"St. Pierre and Miquelon","SPM","Aquatic Animals; Others",457,2,0,0,0
"St. Pierre and Miquelon","SPM","Crustaceans",57,2,0,0,0
"St. Pierre and Miquelon","SPM","Demersal Fish",252,NA,0,NA,0
"St. Pierre and Miquelon","SPM","Moluscs; Other",12,2,0,0,0
"Sudan","SDN","Aquatic Animals; Others",80,35,0,0,0
"Sudan","SDN","Crustaceans",57,27,0,0,0
"Sudan","SDN","Demersal Fish",12,148,0,0,0
"Sudan","SDN","Freshwater Fish",742,249,0,0,0
"Sudan","SDN","Marine Fish; Other",451,302,0,0,0
"Sudan","SDN","Pelagic Fish",353,1012,0,0,0
"Suriname","SUR","Crustaceans",3902,37,0,0,0
"Suriname","SUR","Demersal Fish",1408,51,0,0,0
"Suriname","SUR","Freshwater Fish",779,4,0,0,0
"Suriname","SUR","Marine Fish; Other",16979,178,0,0,0
"Suriname","SUR","Moluscs; Other",2,NA,0,NA,0
"Suriname","SUR","Pelagic Fish",3847,1990,0,0,0
"Sweden","SWE","Aquatic Animals; Others",137,1450.18,0,0,0
"Sweden","SWE","Cephalopods",49,651,0,0,0
"Sweden","SWE","Crustaceans",5331,34469,0,0,0
"Sweden","SWE","Demersal Fish",113353,167734,0,0,0
"Sweden","SWE","Freshwater Fish",467378,521085,0,0,0
"Sweden","SWE","Marine Fish; Other",53021,29278,0,0,0
"Sweden","SWE","Moluscs; Other",590,2183,0,0,0
"Sweden","SWE","Pelagic Fish",192806,72449,0,0,0
