"species","nutrient","nutrient_units","value","ssd","count","se","lower_ci","upper_ci","taxa_match","genus_cat"
"lota lota","Calcium","mg",37.5,54.1621237238739,12,15.6352583559302,12.6032533843988,81.4291966156012,"species","Demersal Fish"
"silurus glanis","Calcium","mg",25.5,2.12132034355964,2,1.5,6.44069289573796,44.559307104262,"species","Demersal Fish"
"tinca tinca","Calcium","mg",63,4.24264068711928,2,3,24.8813857914759,101.118614208524,"species","Demersal Fish"
"leuciscus aspius","Calcium","mg",70,0,2,0,70,70,"species","Pelagic Fish"
"leuciscus idus","Calcium","mg",60,0,2,0,60,60,"species","Pelagic Fish"
"litopenaeus vannamei","Calcium","mg",37,4.24264068711928,2,3,0,75.1186142085241,"species","Crustaceans"
"coregonus albula","Calcium","mg",13.31705,0.966657396288881,2,0.683529999999999,4.63197787668252,22.0021221233175,"species","Pelagic Fish"
"coregonus lavaretus","Calcium","mg",35.48,5.02025497360443,6,2.04951051066671,28.2515655093344,38.7884344906656,"species","Freshwater Fish"
"tripneustes gratilla","Calcium","mg",50,0,2,0,50,50,"species","Moluscs; Other"
"scomberomorus maculatus","Calcium","mg",11,NA,1,NA,NA,NA,"species","Pelagic Fish"
"dussumieria acuta","Calcium","mg",879.97,NA,1,NA,NA,NA,"species","Pelagic Fish"
"pleurogrammus azonus","Calcium","mg",22,NA,1,NA,NA,NA,"species","Demersal Fish"
"konosirus punctatus","Calcium","mg",190,NA,1,NA,NA,NA,"species","Pelagic Fish"
"seriola quinqueradiata","Calcium","mg",5,8.08290376865476,3,4.66666666666667,0,29.7457127388308,"species","Pelagic Fish"
"metapenaeus monoceros","Calcium","mg",97.7,190.710601623058,8,67.4263798259151,28.0369470665348,346.913052933465,"species","Crustaceans"
"allothunnus fallai","Calcium","mg",3,NA,1,NA,NA,NA,"species","Pelagic Fish"
"pecten novaezelandiae","Calcium","mg",33.5,17.6776695296637,2,12.5,0,192.327559202184,"species","Moluscs; Other"
"perna canaliculus","Calcium","mg",66,0,2,0,66,66,"species","Moluscs; Other"
"erimacrus isenbeckii","Calcium","mg",61,NA,1,NA,NA,NA,"species","Crustaceans"
"oratosquilla oratoria","Calcium","mg",96.5,74.2462120245875,2,52.5,0,763.575748649171,"species","Crustaceans"
"oplegnathus fasciatus","Calcium","mg",20,NA,1,NA,NA,NA,"species","Demersal Fish"
"tridacna maxima","Calcium","mg",2,NA,1,NA,NA,NA,"species","Moluscs; Other"
"morone saxatilis","Calcium","mg",15,NA,1,NA,NA,NA,"species","Freshwater Fish"
"genypterus capensis","Calcium","mg",47,NA,1,NA,NA,NA,"species","Demersal Fish"
"pleurogrammus monopterygius","Calcium","mg",14.1,NA,1,NA,NA,NA,"species","Demersal Fish"
"oreochromis mossambicus","Calcium","mg",34.35,21.708178182427,2,15.35,0,229.390242700282,"species","Freshwater Fish"
"dentex tumifrons","Calcium","mg",23,NA,1,NA,NA,NA,"species","Demersal Fish"
"decapterus muroadsi","Calcium","mg",19,NA,1,NA,NA,NA,"species","Pelagic Fish"
"paphies australis","Calcium","mg",48,NA,1,NA,NA,NA,"species","Moluscs; Other"
"coregonus autumnalis","Calcium","mg",40,14.142135623731,2,10,0,167.062047361747,"species","Pelagic Fish"
"octopus vulgaris","DHA+EPA","g",0.18,14.6549935955535,7,5.53906693129698,0,19.3200370899043,"species","Cephalopods"
"sepia officinalis","DHA+EPA","g",0.445,0.190918830920368,2,0.135,0,2.16033763938358,"species","Cephalopods"
"boops boops","DHA+EPA","g",18,NA,1,NA,NA,NA,"species","Demersal Fish"
"dicentrarchus labrax","DHA+EPA","g",0.76,0.255799400572662,3,0.147685852779171,0.101225729060987,1.37210760427235,"species","Demersal Fish"
"sarda sarda","DHA+EPA","g",4,NA,1,NA,NA,NA,"species","Pelagic Fish"
"thunnus thynnus","DHA+EPA","g",1.16,1.74270370105764,5,0.779360788041071,0,3.73680844513973,"species","Pelagic Fish"
"mytilus galloprovincialis","DHA+EPA","g",0.35,0.0152752523165195,3,0.00881917103688198,0.315387502997366,0.391279163669301,"species","Moluscs; Other"
"aristeus antennatus","DHA+EPA","g",38,NA,1,NA,NA,NA,"species","Crustaceans"
"crangon crangon","DHA+EPA","g",0.4,0.0424264068711929,2,0.03,0.0188138579147589,0.781186142085241,"species","Crustaceans"
"homarus gammarus","DHA+EPA","g",0.045,0.00707106781186548,2,0.005,0,0.108531023680873,"species","Crustaceans"
"nephrops norvegicus","DHA+EPA","g",0.13,20.7153300721953,3,11.9600013935339,0,63.5397326436961,"species","Crustaceans"
"lophius piscatorius","DHA+EPA","g",0.02,NA,1,NA,NA,NA,"species","Demersal Fish"
"molva dypterygia","DHA+EPA","g",0.02,NA,1,NA,NA,NA,"species","Demersal Fish"
"prionace glauca","DHA+EPA","g",0.059,NA,1,NA,NA,NA,"species","Demersal Fish"
"seriola dumerili","DHA+EPA","g",0.92,NA,1,NA,NA,NA,"species","Demersal Fish"
"solea solea","DHA+EPA","g",0.255,0.0778888096369861,4,0.0389444048184931,0.136061522773914,0.383938477226086,"species","Demersal Fish"
"spicara smaris","DHA+EPA","g",16,NA,1,NA,NA,NA,"species","Demersal Fish"
"squalus acanthias","DHA+EPA","g",1.37,0.398288002999505,3,0.229951685746762,0.473931084944535,2.45273558172213,"species","Demersal Fish"
