"iso3c","nutrient","production_sector","nut_supply","consump"
"AUS","Zinc","Recreational",229514738.010345,165620.95470636
"AUS","Zinc","Subsistence",22440608.8456257,11130.128106538
"AUT","Calcium","Import",24909543124,427302.3262
"AUT","DHA+EPA","Import",344606391.67358,427302.3262
"AUT","Iron","Import",655089824.786667,427302.3262
"AUT","Vitamin A","Import",10551504566,427302.3262
"AUT","Vitamin B12","Import",2020843009.91667,427302.3262
"AUT","Zinc","Import",647728091.283333,427302.3262
"AZE","Calcium","Import",5513987136,113807.6418
"AZE","DHA+EPA","Import",124603732.13282,113807.6418
"AZE","Iron","Import",138126776.88,113807.6418
"AZE","Vitamin A","Import",3096428504,113807.6418
"AZE","Vitamin B12","Import",434470505.75,113807.6418
"AZE","Zinc","Import",130213481.75,113807.6418
"BDI","Calcium","Import",71366880,1646.928
"BDI","DHA+EPA","Import",2086108.8,1646.928
"BDI","Iron","Import",1973568.72,1646.928
"BDI","Vitamin A","Import",46662960,1646.928
"BDI","Vitamin B12","Import",6313224,1646.928
"BDI","Zinc","Import",1646928,1646.928
"BEL","Calcium","Import",49314077146,856747.0238
"BEL","Calcium","Industrial",296204905.1961,9174.80541653438
"BEL","Calcium","Recreational",11312800,278.88
"BEL","Calcium","Subsistence",439200,4.32
"BEL","DHA+EPA","Import",595142778.26002,856747.0238
"BEL","DHA+EPA","Industrial",46736757.793046,9174.80541653438
"BEL","DHA+EPA","Recreational",211360,278.88
"BEL","DHA+EPA","Subsistence",2880,4.32
"BEL","Iron","Import",1707228536.35333,856747.0238
"BEL","Iron","Industrial",15368645.2342437,9174.80541653438
"BEL","Iron","Recreational",361836,278.88
"BEL","Iron","Subsistence",12240,4.32
"BEL","Vitamin A","Import",20928813059,856747.0238
"BEL","Vitamin A","Industrial",61669571.1445567,9174.80541653438
"BEL","Vitamin A","Recreational",3009600,278.88
"BEL","Vitamin A","Subsistence",14400,4.32
"BEL","Vitamin B12","Import",5704002076.48333,856747.0238
"BEL","Vitamin B12","Industrial",23105361.6300883,9174.80541653438
"BEL","Vitamin B12","Recreational",1186480,278.88
"BEL","Vitamin B12","Subsistence",36720,4.32
"BEL","Zinc","Import",1170610703.76667,856747.0238
"BEL","Zinc","Industrial",9637154.7941933,9174.80541653438
"BEL","Zinc","Recreational",347808,278.88
"BEL","Zinc","Subsistence",14112,4.32
"BEN","Calcium","Artisanal",18381394101.8461,128275.825176468
"BEN","Calcium","Import",6259935600,127780.316
"BEN","Calcium","Industrial",101022897.399515,736.498787727121
"BEN","Calcium","Subsistence",5184605495.56559,29604.8820542352
"BEN","DHA+EPA","Artisanal",248291547.282367,128275.825176468
"BEN","DHA+EPA","Import",90477524.2108,127780.316
"BEN","DHA+EPA","Industrial",1314980.63788997,736.498787727121
"BEN","DHA+EPA","Subsistence",18918510.9341165,29604.8820542352
"BEN","Iron","Artisanal",132010765.378026,128275.825176468
"BEN","Iron","Import",131745065.333333,127780.316
"BEN","Iron","Industrial",671914.843835747,736.498787727121
"BEN","Iron","Subsistence",11962045.4608674,29604.8820542352
"BEN","Vitamin A","Artisanal",3538285958.29015,128275.825176468
"BEN","Vitamin A","Import",3439203560,127780.316
